codmes|cliente|edad|ingreso|sexo|flgLimaProv|flgAfBxi|grupoGiro|monto|trx
201612|00000643|[7. > 55]|[4. <=3500]|F|1|1|prodsuper|280|4
201612|00000850|[7. > 55]|[3. <=2500]|M|1|0|prodsuper|54|1
201612|00000867|[6. <=55]|[2. <=1500]|M|1|1|tiendadepar|4|1
201612|00014806|[2. <=30]||F|1|1|tiendadepar|109|1
201612|00014872|[7. > 55]|[3. <=2500]|M|1|0|tiendadepar|193|1
201612|00031663|[4. <=40]|[3. <=2500]|M|1|0|restbar|121|5
201611|00032400|[4. <=40]|[2. <=1500]|M|0|1|restbar|63|1
201611|00032920|[1. <=25]|[2. <=1500]|F|1|0|restbar|12|1
201611|00029879|[4. <=40]||F|1|1|vehrep|5|1
201611|00033357|[6. <=55]|[2. <=1500]|M|1|1|vehrep|17|2
201611|00031315|[2. <=30]|[3. <=2500]|M|1|1|vehrep|142|5
201611|00030419||||||restbar|34|1
201611|00030555|[4. <=40]||M|1|1|vehrep|2|1
201611|00031211|[1. <=25]|[2. <=1500]|F|0|1|entretenimiento|48|3
201611|00031400|[1. <=25]||F|1|0|entretenimiento|29|1
201611|00029939|[1. <=25]|[2. <=1500]|F|1|1|restbar|18|1
201611|00031625|[1. <=25]|[2. <=1500]|M|1|1|entretenimiento|45|1
201611|00034480|[2. <=30]|[3. <=2500]|F|1|1|restbar|50|1
201611|00034598|[5. <=45]|[3. <=2500]|M|0|1|restbar|60|2
201611|00026016|[5. <=45]|[2. <=1500]|F|1|0|restbar|16|1
201612|00013075|[3. <=35]|[4. <=3500]|M|1|1|restbar|112|2
201612|00025904|[1. <=25]|[3. <=2500]|M|1|1|restbar|57|2
201612|00019361|[4. <=40]|[6. <=6000]|M|0|1|vehrep|175|2
201612|00014521|[7. > 55]|[3. <=2500]|M|1|1|vehrep|100|1
201612|00014545|[3. <=35]|[3. <=2500]|F|1|1|restbar|494|5
201612|00014698|[5. <=45]|[6. <=6000]|F|1|1|vehrep|105|3
201612|00012119|[4. <=40]|[4. <=3500]|F|1|1|vehrep|88|2
201612|00022711|[7. > 55]|[4. <=3500]|F|0|1|restbar|169|2
201612|00022714|[2. <=30]|[2. <=1500]|M|1|1|restbar|18|1
201612|00022770|[2. <=30]|[2. <=1500]|F|1|1|restbar|33|1
201612|00015010|[3. <=35]|[2. <=1500]|F|1|1|restbar|41|1
201612|00012916|[4. <=40]|[2. <=1500]|M|1|1|restbar|35|1
201612|00012992|[7. > 55]|[3. <=2500]|F|1|1|restbar|86|2
201612|00013094|[6. <=55]|[6. <=6000]|F|1|1|vehrep|20|1
201612|00010895|[6. <=55]|[4. <=3500]|M|1|1|restbar|72|1
201612|00011002|[4. <=40]|[3. <=2500]|M|0|1|restbar|33|1
201612|00017791|[2. <=30]|[7. <=8000]|M|1|1|restbar|1025|1
201612|00017844|[1. <=25]|[2. <=1500]|M|1|1|restbar|10|1
201612|00017868|[2. <=30]||M|1|1|restbar|66|1
201612|00007398|[5. <=45]|[8. > 8000]|M|1|1|restbar|474|1
201612|00007388|[6. <=55]|[4. <=3500]|M|0|1|vehrep|70|3
201612|00007388|[6. <=55]|[4. <=3500]|M|0|1|restbar|130|2
201612|00007565|[3. <=35]|[3. <=2500]|F|1|0|restbar|618|7
201612|00008073|[4. <=40]|[3. <=2500]|M|1|1|restbar|58|1
201612|00008875|[5. <=45]|[5. <=4500]|M|1|1|restbar|52|1
201612|00004831|[6. <=55]|[2. <=1500]|M|1|1|restbar|265|7
201612|00009340|[4. <=40]|[4. <=3500]|M|1|1|alqbienes|45|1
201612|00009432|[3. <=35]|[2. <=1500]|M|1|1|restbar|52|2
201612|00009568|[3. <=35]|[2. <=1500]|M|1|1|restbar|30|6
201612|00007240|[4. <=40]|[3. <=2500]|M|1|1|tiendadepar|99|1
201611|00029800|[1. <=25]||F|1|1|prodsuper|29|4
201611|00030311|[1. <=25]|[2. <=1500]|M|1|1|tiendadepar|169|1
201612|00003716|[6. <=55]|[5. <=4500]|F|1|1|tiendadepar|383|2
201612|00003716|[6. <=55]|[5. <=4500]|F|1|1|prodsuper|1136|6
201611|00032984|[1. <=25]|[2. <=1500]|M|1|1|prodsuper|148|4
201611|00033326|[1. <=25]|[2. <=1500]|M|1|1|prodsuper|16|1
201611|00031260|[3. <=35]||F|1|1|prodsuper|49|5
201611|00030812|[1. <=25]|[2. <=1500]|M|1|1|tiendadepar|69|1
201611|00031171|[1. <=25]|[2. <=1500]|M|0|1|prodsuper|550|1
201611|00031297|[2. <=30]|[2. <=1500]|F|0|1|tiendadepar|149|1
201611|00029361|[4. <=40]|[3. <=2500]|F|1|1|prodsuper|100|1
201611|00029612|[1. <=25]|[2. <=1500]|M|1|1|prodsuper|8|1
201612|00000350|[7. > 55]|[3. <=2500]|F|1|1|tiendadepar|99|1
201612|00000362|[7. > 55]|[4. <=3500]|F|1|1|tiendadepar|128|2
201612|00000393|[7. > 55]|[4. <=3500]|F|1|0|prodsuper|117|3
201611|00031791|[2. <=30]|[2. <=1500]|M|1|1|prodsuper|5|1
201611|00031813|[2. <=30]|[2. <=1500]|M|0|1|prodsuper|46|2
201611|00034049|[2. <=30]|[2. <=1500]|M|1|1|prodsuper|59|3
201612|00018758||||||prodsuper|16|5
201612|00013447|[4. <=40]|[2. <=1500]|M|1|0|prodsuper|70|1
201612|00018615|[7. > 55]|[4. <=3500]|F|1|1|prodsuper|202|1
201612|00014950|[6. <=55]|[4. <=3500]|M|0|1|prodsuper|434|1
201612|00018529|[5. <=45]|[2. <=1500]|M|0|1|prodsuper|68|1
201612|00018555|[2. <=30]|[2. <=1500]|F|0|1|prodsuper|223|2
201612|00018580|[2. <=30]|[2. <=1500]|F|1|1|tiendadepar|113|2
201612|00018694|[6. <=55]|[3. <=2500]|F|1|1|prodsuper|39|2
201612|00012863|[4. <=40]|[2. <=1500]|M|1|0|prodsuper|176|1
201612|00012955|[3. <=35]|[4. <=3500]|F|1|1|tiendadepar|38|1
201612|00012955|[3. <=35]|[4. <=3500]|F|1|1|prodsuper|121|1
201612|00022761|[2. <=30]|[3. <=2500]|M|0|1|prodsuper|98|2
201612|00014984|[6. <=55]||M|1|1|tiendadepar|278|2
201612|00012893|[3. <=35]|[3. <=2500]|M|0|1|tiendadepar|99|1
201612|00017867||||||prodsuper|284|1
201612|00006600|[6. <=55]|[4. <=3500]|F|0|1|tiendadepar|3000|1
201612|00007182|[4. <=40]|[2. <=1500]|F|1|0|prodsuper|94|6
201612|00007229|[4. <=40]|[3. <=2500]|F|0|0|prodsuper|98|1
201612|00007229|[4. <=40]|[3. <=2500]|F|0|0|tiendadepar|287|1
201612|00007580|[5. <=45]|[4. <=3500]|M|1|1|prodsuper|229|1
201612|00007648|[7. > 55]|[3. <=2500]|M|1|0|prodsuper|42|1
201612|00008245||||||prodsuper|718|13
201612|00017624|[7. > 55]|[5. <=4500]|M|1|1|tiendadepar|20|1
201612|00019113|[1. <=25]||F|1|0|prodsuper|2|1
201612|00018615|[7. > 55]|[4. <=3500]|F|1|1|tiendadepar|361|2
201612|00003021|[7. > 55]|[4. <=3500]|M|1|1|prodlocal|109|1
201612|00005724|[5. <=45]|[4. <=3500]|F|1|1|entretenimiento|33|1
201611|00030157|[1. <=25]|[2. <=1500]|F|0|1|alqbienes|66|2
201611|00030305|[1. <=25]||M|1|1|restbar|9|1
201612|00003887|[6. <=55]|[4. <=3500]|F|0|1|vehrep|184|3
201611|00033382|[2. <=30]|[2. <=1500]|F|0|1|restbar|54|1
201611|00033431|[2. <=30]|[3. <=2500]|F|1|1|restbar|31|1
201611|00030554|[3. <=35]|[7. <=8000]|M|1|1|restbar|585|6
201612|00000310|[7. > 55]|[3. <=2500]|F|1|0|vehrep|129|1
