cliente|edad|ingreso|sexo|flgLimaprov|trxAplus|trxAtm|trxBcaex|trxBm|trxBxi|trxIvr|trxPostc|trxPostd|trxSalex|trxSbt|trxVent|trx
00000386|[6. <=55]|[5. <=4500]|F|1|0|9|0|0|0|0|0|0|0|0|15|24
00000394|[7. > 55]|[2. <=1500]|M|1|0|60|0|0|0|0|0|3|0|2|6|71
00000403|[7. > 55]|[8. > 8000]|F|1|0|117|17|0|2|0|1|33|15|39|5|229
00000406|[7. > 55]|[4. <=3500]|M|1|0|87|4|9|12|0|0|0|0|2|1|115
00000410|[7. > 55]|[5. <=4500]|M|1|0|180.00000000000003|8|0|0|2|0|136|8|2|2|338
00000440|[7. > 55]|[4. <=3500]|M|1|0|134|0|0|0|0|0|3|0|0|1|138
00000444|[7. > 55]|[5. <=4500]|M|1|0|101|0|0|1836|0|0|18|0|4|1|1960
00000453|[7. > 55]|[7. <=8000]|F|1|0|77|0|0|0|0|0|65|0|0|1|143
00000455|[6. <=55]|[7. <=8000]|M|0|0|3|5|0|10|2|0|7|0|3|0|30
00000462|[7. > 55]|[5. <=4500]|F|1|0|91|0|0|0|0|0|2|0|0|3|96
00000466|[6. <=55]|[7. <=8000]|F|1|0|50|0|0|0|0|0|0|0|0|4|54
00000477|[7. > 55]|[6. <=6000]|F|1|0|107|0|0|0|0|0|0|2|1|9|119
00000483|[7. > 55]|[3. <=2500]|F|1|0|101|2|0|0|0|0|35|48|0|0|186
00000505|[7. > 55]|[1. <=700]|M|1|0|19|0|0|0|0|0|0|0|0|0|19
00000417|[6. <=55]|[5. <=4500]|F|1|0|32|0|0|0|0|0|0|0|0|1|33
00000426|[6. <=55]|[3. <=2500]|F|1|0|42|0|0|0|0|0|19|0|0|1|62
00000445|[7. > 55]|[5. <=4500]|F|1|0|0|0|0|0|0|0|0|0|3|17|20
00000461|[7. > 55]|[3. <=2500]|F|1|0|112.00000000000001|0|0|0|8|0|89|2|2|0|213
00000482|[7. > 55]|[7. <=8000]|F|1|0|95|0|0|0|0|0|0|0|1|1|97
00000498||[3. <=2500]|M|1|0|20|0|0|0|0|0|13|0|0|1|34
00000507|[6. <=55]|[5. <=4500]|F|0|0|202|54|0|0|6|0|123.00000000000001|4|7|91|487
00000520|[7. > 55]|[2. <=1500]|M|1|0|2|0|0|0|0|0|0|0|0|16|18
00000522|[7. > 55]|[3. <=2500]|M|1|0|42|0|0|0|0|0|0|0|0|3|45
